# 第一批異体字整理表（一異表）
yyb/variant,<rev>,yyb/regular
眺,yyb/variant,覜
筒,yyb/variant,筩
同,yyb/variant,仝
同,yyb/variant,衕
峒,yyb/variant,峝
偷,yyb/variant,媮
兔,yyb/variant,兎
兔,yyb/variant,兔
腿,yyb/variant,骽
頽,yyb/variant,穨
臀,yyb/variant,臋
馱,yyb/variant,䭾
托,yyb/variant,託
駝,yyb/variant,駞
拖,yyb/variant,拕
蛙,yyb/variant,鼃
襪,yyb/variant,韈
襪,yyb/variant,韤
挽,yyb/variant,輓
浣,yyb/variant,澣
玩,yyb/variant,翫
碗,yyb/variant,盌
碗,yyb/variant,椀
碗,yyb/variant,㼝
亡,yyb/variant,亾
望,yyb/variant,朢
往,yyb/variant,徃
罔,yyb/variant,㒺
喂,yyb/variant,餵
喂,yyb/variant,餧
猬,yyb/variant,蝟
吻,yyb/variant,脗
蚊,yyb/variant,螡
蚊,yyb/variant,蟁
瓮,yyb/variant,甕
瓮,yyb/variant,罋
污,yyb/variant,汙
污,yyb/variant,汚
塢,yyb/variant,隖
忤,yyb/variant,啎
嘻,yyb/variant,譆
溪,yyb/variant,谿
晰,yyb/variant,晳
晰,yyb/variant,皙
席,yyb/variant,蓆
熙,yyb/variant,熈
熙,yyb/variant,𤋮
戲,yyb/variant,戯
膝,yyb/variant,䣛
厦,yyb/variant,廈
狹,yyb/variant,陿
銜,yyb/variant,衘
銜,yyb/variant,啣
弦,yyb/variant,絃
仙,yyb/variant,僊
鮮,yyb/variant,尠
鮮,yyb/variant,鱻
鮮,yyb/variant,尟
閑,yyb/variant,閒
嫻,yyb/variant,嫺
涎,yyb/variant,㳄
綫,yyb/variant,線
籼,yyb/variant,秈
享,yyb/variant,亯
餉,yyb/variant,饟
嚮,yyb/variant,曏
厢,yyb/variant,廂
笑,yyb/variant,咲
效,yyb/variant,効
效,yyb/variant,傚
脅,yyb/variant,脇
邪,yyb/variant,衺
蟹,yyb/variant,蠏
燮,yyb/variant,爕
蝎,yyb/variant,蠍
泄,yyb/variant,洩
紲,yyb/variant,絏
鞋,yyb/variant,鞵
携,yyb/variant,攜
携,yyb/variant,㩗
携,yyb/variant,擕
携,yyb/variant,㩦
幸,yyb/variant,倖
汹,yyb/variant,洶
凶,yyb/variant,兇
胸,yyb/variant,胷
修,yyb/variant,脩
綉,yyb/variant,繡
銹,yyb/variant,鏽
叙,yyb/variant,敘
叙,yyb/variant,敍
勖,yyb/variant,勗
恤,yyb/variant,䘏
恤,yyb/variant,賉
恤,yyb/variant,卹
婿,yyb/variant,壻
喧,yyb/variant,諠
楦,yyb/variant,楥
萱,yyb/variant,萲
萱,yyb/variant,蕿
萱,yyb/variant,蘐
萱,yyb/variant,藼
璇,yyb/variant,璿
靴,yyb/variant,鞾
熏,yyb/variant,燻
徇,yyb/variant,狥
勛,yyb/variant,勳
塤,yyb/variant,壎
尋,yyb/variant,𡬶
巡,yyb/variant,廵
鴉,yyb/variant,鵶
丫,yyb/variant,枒
丫,yyb/variant,椏
贋,yyb/variant,贗
雁,yyb/variant,鴈
驗,yyb/variant,騐
烟,yyb/variant,煙
烟,yyb/variant,菸
胭,yyb/variant,臙
燕,yyb/variant,鷰
鼹,yyb/variant,鼴
腌,yyb/variant,醃
咽,yyb/variant,嚥
檐,yyb/variant,簷
岩,yyb/variant,巗
岩,yyb/variant,巖
岩,yyb/variant,嵒
焰,yyb/variant,燄
艷,yyb/variant,豓
艷,yyb/variant,豔
宴,yyb/variant,醼
揚,yyb/variant,颺
揚,yyb/variant,敭
淆,yyb/variant,殽
肴,yyb/variant,餚
耀,yyb/variant,燿
咬,yyb/variant,齩
拗,yyb/variant,抝
窑,yyb/variant,窰
窑,yyb/variant,窯
夭,yyb/variant,殀
野,yyb/variant,埜
野,yyb/variant,壄
夜,yyb/variant,亱
燁,yyb/variant,爗
翳,yyb/variant,瞖
异,yyb/variant,異
咿,yyb/variant,吚
移,yyb/variant,迻
以,yyb/variant,㕥
以,yyb/variant,㠯
因,yyb/variant,囙
殷,yyb/variant,慇
飲,yyb/variant,㱃
淫,yyb/variant,婬
淫,yyb/variant,滛
喑,yyb/variant,瘖
堙,yyb/variant,陻
陰,yyb/variant,隂
吟,yyb/variant,唫
蔭,yyb/variant,廕
姻,yyb/variant,婣
罌,yyb/variant,甖
穎,yyb/variant,頴
映,yyb/variant,暎
鶯,yyb/variant,鸎
咏,yyb/variant,詠
涌,yyb/variant,湧
恿,yyb/variant,慂
恿,yyb/variant,惥
雍,yyb/variant,雝
游,yyb/variant,遊
寓,yyb/variant,庽
欲,yyb/variant,慾
逾,yyb/variant,踰
愈,yyb/variant,癒
愈,yyb/variant,瘉
鬱,yyb/variant,鬰
鬱,yyb/variant,欝
冤,yyb/variant,寃
冤,yyb/variant,𡨘
猿,yyb/variant,猨
猿,yyb/variant,蝯
岳,yyb/variant,嶽
韵,yyb/variant,韻
雜,yyb/variant,襍
匝,yyb/variant,帀
灾,yyb/variant,災
灾,yyb/variant,烖
灾,yyb/variant,菑
再,yyb/variant,𠕅
再,yyb/variant,𠕂
咱,yyb/variant,喒
咱,yyb/variant,𠴰
咱,yyb/variant,偺
咱,yyb/variant,倃
贊,yyb/variant,賛
贊,yyb/variant,讚
簪,yyb/variant,簮
葬,yyb/variant,𦵏
葬,yyb/variant,塟
唣,yyb/variant,唕
糟,yyb/variant,蹧
噪,yyb/variant,譟
皂,yyb/variant,皁
札,yyb/variant,剳
札,yyb/variant,劄
閘,yyb/variant,牐
榨,yyb/variant,搾
扎,yyb/variant,紥
扎,yyb/variant,紮
咤,yyb/variant,吒
寨,yyb/variant,砦
齋,yyb/variant,亝
盞,yyb/variant,琖
盞,yyb/variant,醆
氈,yyb/variant,氊
占,yyb/variant,佔
嶄,yyb/variant,嶃
暫,yyb/variant,蹔
沾,yyb/variant,霑
獐,yyb/variant,麞
照,yyb/variant,炤
棹,yyb/variant,櫂
浙,yyb/variant,淛
輒,yyb/variant,輙
謫,yyb/variant,讁
哲,yyb/variant,喆
懾,yyb/variant,慴
針,yyb/variant,鍼
鴆,yyb/variant,酖
砧,yyb/variant,碪
珍,yyb/variant,珎
偵,yyb/variant,遉
卮,yyb/variant,巵
帙,yyb/variant,袟
帙,yyb/variant,袠
址,yyb/variant,阯
